colour	x	y	showSelectedlegendcolour	fill
#F8766D	0	0.954230235783633	EfficientNet-B0	#F8766D
#F8766D	1	0.936599423631124	EfficientNet-B0	#F8766D
#F8766D	2	0.948965517241379	EfficientNet-B0	#F8766D
#F8766D	3	0.971751412429378	EfficientNet-B0	#F8766D
#F8766D	4	0.909847434119278	EfficientNet-B0	#F8766D
#F8766D	5	0.972067039106145	EfficientNet-B0	#F8766D
#F8766D	6	0.974647887323943	EfficientNet-B0	#F8766D
#F8766D	7	0.939226519337016	EfficientNet-B0	#F8766D
#F8766D	8	0.960339943342776	EfficientNet-B0	#F8766D
#F8766D	9	0.985875706214689	EfficientNet-B0	#F8766D
#F8766D	10	0.984441301272984	EfficientNet-B0	#F8766D
#F8766D	11	0.978601997146932	EfficientNet-B0	#F8766D
#B79F00	12	0.946629213483146	EfficientNet-B5	#B79F00
#B79F00	13	0.953168044077135	EfficientNet-B5	#B79F00
#B79F00	14	0.941843971631205	EfficientNet-B5	#B79F00
#B79F00	15	0.983240223463687	EfficientNet-B5	#B79F00
#B79F00	16	0.964438122332859	EfficientNet-B5	#B79F00
#00BA38	17	0.974431818181818	EfficientViT-B3	#00BA38
#00BA38	18	0.974504249291784	EfficientViT-B3	#00BA38
#00BA38	19	0.970042796005706	EfficientViT-B3	#00BA38
#00BA38	20	0.956772334293948	EfficientViT-B3	#00BA38
#00BA38	21	0.976090014064697	EfficientViT-B3	#00BA38
#00BA38	22	0.983098591549295	EfficientViT-B3	#00BA38
#00BA38	23	0.95345557122708	EfficientViT-B3	#00BA38
#F564E3	24	0.988700564971751	ViT-Base-Patch8	#F564E3
#F564E3	25	0.962962962962962	ViT-Base-Patch8	#F564E3
#619CFF	26	0.985875706214689	ViT-Base-Patch16	#619CFF
#619CFF	27	0.984441301272984	ViT-Base-Patch16	#619CFF
#619CFF	28	0.978662873399715	ViT-Base-Patch16	#619CFF
#619CFF	29	0.990126939351198	ViT-Base-Patch16	#619CFF
#619CFF	30	0.987234042553191	ViT-Base-Patch16	#619CFF
#619CFF	31	0.984441301272984	ViT-Base-Patch16	#619CFF
#619CFF	33	0.987306064880112	ViT-Base-Patch16	#619CFF
#619CFF	34	0.985915492957746	ViT-Base-Patch16	#619CFF
#619CFF	35	0.990070921985815	ViT-Base-Patch16	#619CFF
#619CFF	36	0.987270155586987	ViT-Base-Patch16	#619CFF
#619CFF	37	0.988603988603988	ViT-Base-Patch16	#619CFF
#619CFF	38	0.987234042553191	ViT-Base-Patch16	#619CFF
#619CFF	39	0.981612446958981	ViT-Base-Patch16	#619CFF
#619CFF	40	0.984441301272984	ViT-Base-Patch16	#619CFF
#619CFF	41	0.990126939351198	ViT-Base-Patch16	#619CFF
#619CFF	42	0.99009900990099	ViT-Base-Patch16	#619CFF
#619CFF	43	0.985835694050991	ViT-Base-Patch16	#619CFF
#619CFF	44	0.987234042553191	ViT-Base-Patch16	#619CFF
#00BFC4	45	0.971428571428571	MViT-Base	#00BFC4
#619CFF	32	0.978843441466854	ViT-Base-Patch16	#619CFF
